field,ru,en,es,pt
common.validation.required,Обязательное поле,The main field,Campo obligatorio,Campo obrigatório
common.validation.notEqual,Поле не совпадает,The field does not match,El campo no coincide,O campo não corresponde
common.validation.beforeDate,Дата должна быть до {boundary},The date must be before {boundary},La fecha debe ser antes de {boundary},A data deve ser anterior a {boundary}
common.validation.afterDate,Дата должна быть после {boundary},The date must be after {boundary},La fecha debe ser después de {boundary},A data deve ser posterior a {boundary}
common.validation.lessThan,Значение должно быть меньше чем {boundary},The value must be less than {boundary},El valor debe ser menos de {boundary},O valor deve ser inferior a {boundary}
common.validation.greatOrEqualThan,Значение должно быть больше чем {boundary} или равно,The value must be more than {boundary} or equal,El valor debe ser más o igual a {boundary} ,O valor deve ser superior ou igual a {boundary}
common.validation.greatThan,Значение должно быть больше чем {boundary},The value must be more than {boundary},El valor debe ser más de {boundary},O valor deve ser superior a {boundary}
common.validation.balanceNotEnough,Баланса недостаточно,Balance is insufficient,Recursos insuficientes,Saldo insuficiente
common.validation.invalidAddress,Формат адреса неправильный,Address format is incorrect,El formato de la dirección es incorrecto,O formato de endereço é inválido
common.validation.notZero,Не должен быть 0,Zero is incorrect,No puede ser zero,Não pode ser igual a zero
common.approveButton,Подтвердить,Approve,Confirmar,Confirmar
common.loadMoreButton,Загрузить ещё,Load more,Cargar más,Carregar mais
common.time.yearShortLabel,г,y,a,a
common.time.monthShortLabel,м,m,m,m
common.time.dayShortLabel,д,d,d,d
common.time.hourShortLabel,ч,h,h,h
common.time.minuteShortLabel,м,m,m,m
common.time.secondShortLabel,с,s,s,s
common.time.timeAgo,{time} назад,{time} ago,{time} atrás,{time} atrás
components.txMessages.nftApproveMessage,Подтверждение токена #{tokenId},Approving NFT token #{tokenId},Confirmación del token #{tokenId},Validação de token #{tokenId}
components.txMessages.tokenApproveMessage,Подтверждение токена {symbol},Approving token {symbol},Confirmación del token {symbol},Validação de token {symbol}
components.txMessages.bidPremium,Ставка {bid} токен #{tokenId},Bidding {bid} for token #{tokenId},Apuesta {bid} del token #{tokenId},Aposta {bid} no token #{tokenId}
components.txMessages.buyNowSingle,Моментальная покупка токена #{tokenId},Instant buying token #{tokenId},Compra instantánea del token #{tokenId},Compra instantânea do token #{tokenId}
components.txMessages.cancelAuction,Отмена аукциона #{tokenId},Canceling auction #{tokenId},Cancelar subasta #{tokenId},Cancelamento do leilão #{tokenId}
components.txMessages.finalizeSingleAuction,Завершение аукциона #{tokenId},Finalizing auction #{tokenId},Fin de la subasta #{tokenId},Fim do leilão #{tokenId}
components.txMessages.createSingleAuction,Создание аукциона #{tokenId},Creating auction for #{tokenId},Creación de una subasta #{tokenId},Criação de um leilão #{tokenId}
components.txMessages.buyTicket,Покупка {ticketCount} билетов для токена #{tokenId},Buying {ticketCount} ticket for token #{tokenId},Compra de {ticketCount} billetes para el token #{tokenId},Compra de {ticketCount} bilhetes para o token #{tokenId}
components.txMessages.finalizeLottery,Завершение лотереи #{tokenId},Finalizing lottery #{tokenId},Fin de la lotería #{tokenId},Fim da loteria #{tokenId}
components.txMessages.cancelLottery,Отмена лотереи для токена #{tokenId},Canceling lottery for #{tokenId},Cancelación de la lotería para el token #{tokenId},Cancelamento da loteria para o token #{tokenId}
components.txMessages.createLottery,Создание лотереи для токена #{tokenId},Creating lottery for #{tokenId},Creación de una lotería para el token #{tokenId},Criação de uma loteria para o token #{tokenId}
